file_id,file_name,mime_type,created_time,modified_time,size_bytes,parent_folder,is_image,is_folder,depth,drive_url
1TR_haIfnpi7CU__xpkF3S8rwY8K7KI5o,Blog_Images,application/vnd.google-apps.folder,2026-06-20T06:15:39.579Z,2026-06-20T06:15:39.579Z,,BEAUTY_ROOT,False,True,0,https://drive.google.com/drive/folders/1TR_haIfnpi7CU__xpkF3S8rwY8K7KI5o
1MxP_-0IsBepbxPXp1QfipZIW4XmhXpdH,スタッフ,application/vnd.google-apps.folder,2026-06-16T12:23:24.149Z,2026-06-16T12:23:24.149Z,,BEAUTY_ROOT,False,True,0,https://drive.google.com/drive/folders/1MxP_-0IsBepbxPXp1QfipZIW4XmhXpdH
1MllhnM2j5Q9ZlfZo5AVsab0qmTV3dD0W,ビフォーアフター,application/vnd.google-apps.folder,2026-06-16T12:23:10.260Z,2026-06-16T12:23:10.260Z,,BEAUTY_ROOT,False,True,0,https://drive.google.com/drive/folders/1MllhnM2j5Q9ZlfZo5AVsab0qmTV3dD0W
1DKin7lrWN9rH3euaxDiDigeITMIBD9En,IMG_5991.JPG,image/jpeg,2026-06-18T00:40:11.991Z,2026-06-18T00:40:11.991Z,118544,ビフォーアフター,True,False,1,https://drive.google.com/file/d/1DKin7lrWN9rH3euaxDiDigeITMIBD9En/view
1y-bfMIl4l6lLHweTvzJxJ2PTA7uuWQeq,お客様の声,application/vnd.google-apps.folder,2026-06-16T12:22:36.331Z,2026-06-16T12:22:36.331Z,,BEAUTY_ROOT,False,True,0,https://drive.google.com/drive/folders/1y-bfMIl4l6lLHweTvzJxJ2PTA7uuWQeq
13hgZfTNKmdwBW-chwO7dQ728r81YOdks,店舗内観,application/vnd.google-apps.folder,2026-06-16T12:22:15.045Z,2026-06-16T12:22:15.045Z,,BEAUTY_ROOT,False,True,0,https://drive.google.com/drive/folders/13hgZfTNKmdwBW-chwO7dQ728r81YOdks
1sP3_LvQrzDM8QphxjDpqiLtIC0PJOoD0,店舗外観,application/vnd.google-apps.folder,2026-06-16T12:22:02.852Z,2026-06-16T12:22:02.852Z,,BEAUTY_ROOT,False,True,0,https://drive.google.com/drive/folders/1sP3_LvQrzDM8QphxjDpqiLtIC0PJOoD0
1fTDeV6brHZGJSGBkvzNuZYrPMuXX-SjL,よもぎ蒸し,application/vnd.google-apps.folder,2026-06-16T12:21:48.919Z,2026-06-16T12:21:48.919Z,,BEAUTY_ROOT,False,True,0,https://drive.google.com/drive/folders/1fTDeV6brHZGJSGBkvzNuZYrPMuXX-SjL
16d0YLmm9qqcC63n52Y4irCFCEF9wMSFX,B4C95185-BEB9-45E0-B36B-362301ECFD79.png,image/png,2026-06-26T06:01:10.734Z,2026-06-26T06:01:10.734Z,3529448,よもぎ蒸し,True,False,1,https://drive.google.com/file/d/16d0YLmm9qqcC63n52Y4irCFCEF9wMSFX/view
1hX6Sd12Uy71_TOXQ7TOsouSTxoDRvqbU,44C6FFA6-8354-4817-AD5A-5D20D0C46A38.png,image/png,2026-06-26T06:01:04.287Z,2026-06-26T06:01:04.287Z,3507173,よもぎ蒸し,True,False,1,https://drive.google.com/file/d/1hX6Sd12Uy71_TOXQ7TOsouSTxoDRvqbU/view
1aeSEVzqjQXxYi-nDsAC1H2ruS8vOcL-3,B09920F7-6CE4-4C48-9370-56C74946A3D4.png,image/png,2026-06-26T06:00:59.521Z,2026-06-26T06:00:59.521Z,3141283,よもぎ蒸し,True,False,1,https://drive.google.com/file/d/1aeSEVzqjQXxYi-nDsAC1H2ruS8vOcL-3/view
1n7BxOz0pmGdIcEIG5JROaHk4i_YJN6iN,AAAD1604-61F9-4859-9E5D-146A324C397E.png,image/png,2026-06-26T06:00:54.421Z,2026-06-26T06:00:54.421Z,2954950,よもぎ蒸し,True,False,1,https://drive.google.com/file/d/1n7BxOz0pmGdIcEIG5JROaHk4i_YJN6iN/view
16173kPdMkOBhALd8w1LDUVX1yUkZyS70,1F9E722E-D2D1-4386-BE10-F0F9967EE119.png,image/png,2026-06-26T06:00:48.119Z,2026-06-26T06:00:48.119Z,1968370,よもぎ蒸し,True,False,1,https://drive.google.com/file/d/16173kPdMkOBhALd8w1LDUVX1yUkZyS70/view
1vf59LH_0fKGf-e5P14xAco5Hvwtj-XIP,セルフホワイトニング,application/vnd.google-apps.folder,2026-06-16T12:21:31.565Z,2026-06-16T12:21:31.565Z,,BEAUTY_ROOT,False,True,0,https://drive.google.com/drive/folders/1vf59LH_0fKGf-e5P14xAco5Hvwtj-XIP
1cN4QlXLIKhDYwDUC6ikA46vSoxnfXuko,5CD8B7A4-D842-4072-8CC4-B2B4798E3D71.png,image/png,2026-06-26T05:06:18.685Z,2026-06-26T05:06:18.685Z,2010156,セルフホワイトニング,True,False,1,https://drive.google.com/file/d/1cN4QlXLIKhDYwDUC6ikA46vSoxnfXuko/view
1vAKdtx4-emIvH2PWXU8qaj_166NrSpLw,脱毛,application/vnd.google-apps.folder,2026-06-16T12:21:22.861Z,2026-06-16T12:21:22.861Z,,BEAUTY_ROOT,False,True,0,https://drive.google.com/drive/folders/1vAKdtx4-emIvH2PWXU8qaj_166NrSpLw
1qm45Ua715Mc8-rCIrYGGeBN9vlKi22SE,5357C078-F285-42A4-A56E-E5DA0747C022.png,image/png,2026-06-26T05:06:28.878Z,2026-06-26T05:06:28.878Z,3408489,脱毛,True,False,1,https://drive.google.com/file/d/1qm45Ua715Mc8-rCIrYGGeBN9vlKi22SE/view
1fd0LjK1cuaZ5RxEpJR4tSBFwIzxOXfOH,651C799D-AB6A-4C91-AD28-81ED1234480E.png,image/png,2026-06-26T05:06:11.405Z,2026-06-26T05:06:11.405Z,2821624,脱毛,True,False,1,https://drive.google.com/file/d/1fd0LjK1cuaZ5RxEpJR4tSBFwIzxOXfOH/view
1zxAWoXED1x50YKXzeiJ04rylzwHb4PJy,2C51DDA6-3FF4-4D8A-865C-1B6914732F6F.png,image/png,2026-06-26T05:06:02.730Z,2026-06-26T05:06:02.730Z,2543185,脱毛,True,False,1,https://drive.google.com/file/d/1zxAWoXED1x50YKXzeiJ04rylzwHb4PJy/view
1RJNql5mGkttP341I1W2UE5zRZl7Bd41N,C33E9DFE-3FB3-46CA-B770-A1FB17EAADC4.png,image/png,2026-06-26T05:05:53.242Z,2026-06-26T05:05:53.242Z,2084841,脱毛,True,False,1,https://drive.google.com/file/d/1RJNql5mGkttP341I1W2UE5zRZl7Bd41N/view
1yHxxAQKMHDjLs1zp0dvow6tFAQ-D6Zd5,83C3155A-36EE-4F7D-822C-9BAE1D0C3F24.png,image/png,2026-06-26T05:05:44.955Z,2026-06-26T05:05:44.955Z,1830325,脱毛,True,False,1,https://drive.google.com/file/d/1yHxxAQKMHDjLs1zp0dvow6tFAQ-D6Zd5/view
13OZfzwWlBdv3CS9O8-yRKwS9NOm80bWE,F176B7CD-2FDB-4959-8817-E4F03BB2997D.png,image/png,2026-06-26T05:05:38.453Z,2026-06-26T05:05:38.453Z,1677604,脱毛,True,False,1,https://drive.google.com/file/d/13OZfzwWlBdv3CS9O8-yRKwS9NOm80bWE/view
